Year,TotalViews,TagCount,TotalComments,AcceptedAnswers,TotalAnswers,TagRank,Tags
2018,267051,539,1605,236,653,25,vba
2018,779338,447,969,214,527,70,vue.js
2018,559057,245,696,88,262,38,windows
2018,245825,507,1034,185,553,65,wordpress
2018,61578,231,590,112,238,18,wpf
2018,802072,313,765,142,546,42,xcode
2018,99582,335,646,161,401,63,xml
2019,119972,379,1096,151,414,47,.net
2019,44388,262,743,89,263,30,ajax
2019,263920,461,727,175,495,29,amazon-web-services
2019,891733,2226,4745,775,2542,15,android
2019,986559,1436,2748,595,1905,4,angular
2019,15488,110,209,38,129,27,angularjs
2019,110410,295,529,104,321,45,api
2019,181008,952,2700,522,1574,52,arrays
2019,108302,343,841,127,367,49,asp.net
2019,444887,388,880,184,485,16,asp.net-core
2019,69012,229,659,86,257,58,asp.net-mvc
2019,287597,459,684,200,557,5,azure
2019,77320,341,974,179,470,50,bash
2019,150167,806,3634,358,1063,40,c
2019,975005,2770,8384,1246,3214,17,c#
2019,351459,1552,6047,737,1862,44,c++
2019,331527,1298,2912,601,1894,39,css
2019,270490,307,448,166,382,61,dart
2019,65580,345,730,142,420,31,database
2019,103711,513,833,308,727,8,dataframe
2019,198102,815,1780,341,829,28,django
2019,319301,483,1014,194,527,64,docker
2019,126528,754,2265,308,730,32,excel
2019,218538,465,864,226,519,34,firebase
2019,528788,595,875,279,737,21,flutter
2019,124254,307,683,135,358,14,git
2019,429173,2054,4691,938,2845,23,html
2019,459049,950,1892,359,1144,59,ios
2019,1102071,3412,8770,1348,4084,57,java
2019,1822818,5175,12037,2368,6741,25,javascript
2019,151075,961,2582,427,1208,51,jquery
2019,302938,840,1957,423,1112,66,json
2019,186242,430,837,196,546,20,kotlin
2019,446050,817,2193,397,1113,67,laravel
2019,145135,349,948,153,388,56,linux
2019,69888,413,925,242,815,53,list
2019,76486,392,769,160,381,22,mongodb
2019,39944,203,812,83,226,46,multithreading
2019,235957,1040,2849,448,1326,24,mysql
2019,717011,1303,2497,550,1482,3,node.js
2019,112168,381,949,187,487,12,numpy
2019,20907,95,166,30,95,33,objective-c
2019,82349,381,838,186,557,36,oracle
2019,261772,1181,2189,681,1579,37,pandas
2019,615044,2045,5838,849,2426,69,php
2019,153798,472,943,226,565,10,postgresql
2019,2391620,6851,14979,3222,8627,43,python
2019,19182,116,247,42,129,41,python-2.7
2019,589261,1748,3722,807,2183,1,python-3.x
2019,279918,1418,2684,756,1656,62,r
2019,446841,592,947,227,716,35,react-native
2019,1336384,1862,3313,797,2364,60,reactjs
2019,63881,484,1472,308,723,19,regex
2019,49055,232,448,110,302,9,ruby
2019,84855,328,609,131,370,13,ruby-on-rails
2019,253432,488,1087,165,512,68,spring
2019,396268,624,1360,209,673,55,spring-boot
2019,223253,1453,3825,775,2282,26,sql
2019,149254,699,2304,353,997,18,sql-server
2019,55762,348,1041,188,607,72,string
2019,386897,973,2102,443,1236,7,swift
2019,195102,349,604,107,301,2,tensorflow
2019,18427,89,180,42,131,71,twitter-bootstrap
2019,656021,899,1660,438,1159,54,typescript
2019,20672,166,604,66,155,11,vb.net
2019,85218,562,1853,216,557,38,vba
2019,351582,509,889,240,572,70,vue.js
2019,125811,329,921,110,301,65,windows
2019,101679,391,639,124,414,48,wordpress
2019,35476,202,590,95,186,6,wpf
2019,144863,259,505,107,307,42,xcode
2019,53646,295,700,132,337,63,xml
2020,116189,377,955,137,354,47,.net
2020,24094,262,662,86,226,30,ajax
2020,192105,542,793,183,498,29,amazon-web-services
2020,868544,2205,3680,697,2055,15,android
2020,490179,1246,2411,496,1376,4,angular
2020,13546,112,130,44,92,27,angularjs
2020,88617,372,659,132,332,52,api
2020,107218,917,2286,486,1351,45,arrays
2020,79755,311,732,103,264,49,asp.net
2020,193080,428,925,182,452,50,asp.net-core
2020,45080,233,532,77,220,16,asp.net-mvc
2020,179540,457,620,205,463,40,azure
2020,52204,355,922,193,473,58,bash
2020,106099,740,3151,317,902,17,c
2020,565511,2459,7070,1021,2580,5,c#
2020,209079,1413,5198,636,1536,44,c++
2020,219501,1366,2551,584,1602,39,css
2020,182747,361,475,148,408,61,dart
2020,42291,320,682,121,314,31,database
2020,61203,509,846,292,669,8,dataframe
2020,166325,889,1568,345,842,21,django
2020,269159,551,900,185,507,28,docker
2020,79747,676,1998,274,679,64,excel
2020,150127,543,888,236,509,25,firebase
2020,483251,816,1096,326,900,34,flutter
2020,77755,361,644,129,361,32,git
2020,274305,2089,4063,891,2401,14,html
2020,281419,854,1543,297,837,23,ios
2020,876885,3423,7694,1264,3622,57,java
2020,1129465,5480,11516,2412,6322,59,javascript
2020,99245,937,2017,396,1030,51,jquery
2020,131315,785,1805,385,892,22,json
2020,115457,401,679,169,424,67,kotlin
2020,219244,795,1559,309,846,24,laravel
2020,114854,447,1146,151,397,3,linux
2020,52616,407,1024,224,655,66,list
2020,92012,465,857,187,420,20,mongodb
2020,26732,186,529,64,175,46,multithreading
2020,135425,1022,2775,392,1097,56,mysql
2020,388522,1402,2480,526,1349,37,node.js
2020,75469,362,769,194,415,12,numpy
2020,13191,78,147,23,66,53,objective-c
2020,54028,344,700,162,442,35,oracle
2020,169381,1224,2209,642,1466,10,pandas
2020,285553,1777,4508,641,1694,36,php
2020,82459,498,861,213,472,33,postgresql
2020,1535791,7004,14615,3005,7698,69,python
2020,7704,69,152,25,64,62,python-2.7
2020,372801,1574,2971,672,1710,1,python-3.x
2020,182276,1523,2598,827,1763,7,r
2020,286319,619,763,209,633,60,react-native
2020,842004,2054,3736,858,2350,41,reactjs
2020,39541,449,1259,258,623,26,regex
2020,31883,203,438,85,226,18,ruby
2020,50599,309,528,111,277,13,ruby-on-rails
2020,142679,495,995,165,466,43,spring
2020,303060,646,1152,205,584,19,spring-boot
2020,128809,1379,3171,694,1873,9,sql
2020,95901,637,1740,298,818,55,sql-server
2020,42517,364,1127,199,553,68,string
2020,249701,942,1776,394,989,72,swift
2020,130989,391,544,119,318,71,tensorflow
2020,20907,90,139,45,101,2,twitter-bootstrap
2020,309683,835,1599,401,884,11,typescript
2020,13197,171,506,60,163,54,vb.net
2020,50304,522,1698,218,518,70,vba
2020,217147,546,869,242,549,38,vue.js
2020,72216,297,660,89,230,65,windows
2020,64255,399,551,119,318,6,wordpress
2020,18193,188,419,82,176,63,wpf
2020,101738,264,495,99,279,42,xcode
2020,35274,281,568,122,288,48,xml
2021,12465,369,964,105,249,47,.net
2021,6396,227,514,46,149,30,ajax
2021,16824,623,811,151,416,29,amazon-web-services
2021,56298,1884,2700,412,1171,52,android
2021,28629,927,1125,275,691,27,angular
2021,2335,66,80,12,36,15,angularjs
2021,10606,414,543,94,268,4,api
2021,36964,971,2411,409,1187,45,arrays
2021,7540,265,518,44,143,40,asp.net
2021,14758,390,862,130,307,50,asp.net-core
2021,4898,166,317,44,112,49,asp.net-mvc
2021,13927,402,582,139,337,16,azure
2021,11545,290,774,130,324,17,bash
2021,38872,685,2839,274,758,44,c
2021,77546,2103,5690,652,1598,58,c#
2021,74403,1420,5129,470,1256,25,c++
2021,43978,1410,2177,469,1310,8,css
2021,19575,478,533,148,420,5,dart
2021,9953,373,744,87,253,21,database
2021,20426,674,864,344,726,64,dataframe
2021,22639,876,1317,207,543,61,django
2021,19108,552,877,157,380,39,docker
2021,19656,601,1420,167,475,28,excel
2021,15519,546,704,156,359,31,firebase
2021,40830,1106,1066,279,852,34,flutter
2021,10142,304,608,94,244,14,git
2021,65794,2112,3624,659,1928,20,html
2021,22901,723,1008,148,431,32,ios
2021,103212,2791,5575,731,2184,51,java
2021,179098,5492,9972,1803,4827,3,javascript
2021,21242,699,1382,221,540,23,jquery
2021,22477,668,1440,245,627,57,json
2021,16458,499,724,157,384,67,kotlin
2021,20459,696,1143,162,547,22,laravel
2021,14462,461,996,118,289,24,linux
2021,14737,385,937,183,578,37,list
2021,13326,525,683,151,328,69,mongodb
2021,6616,175,485,58,135,33,multithreading
2021,23280,830,2181,220,624,46,mysql
2021,52918,1583,2228,404,1022,18,node.js
2021,14188,411,703,192,419,35,numpy
2021,1588,57,64,9,22,59,objective-c
2021,7629,251,472,81,247,7,oracle
2021,41710,1336,1973,621,1396,41,pandas
2021,46795,1587,3801,386,1074,56,php
2021,14716,498,908,188,412,62,postgresql
2021,246550,7677,13559,2563,6677,66,python
2021,1356,51,92,19,40,12,python-2.7
2021,46417,1471,2590,509,1256,53,python-3.x
2021,46198,1497,2029,649,1393,10,r
2021,16739,642,549,140,393,36,react-native
2021,83422,2474,3740,757,2001,19,reactjs
2021,15373,391,933,214,474,1,regex
2021,4836,132,185,39,104,26,ruby
2021,6819,207,302,55,155,68,ruby-on-rails
2021,12838,410,600,101,262,60,spring
2021,18473,578,929,117,377,13,spring-boot
2021,38435,1145,2650,484,1314,9,sql
2021,16263,450,1484,171,454,43,sql-server
2021,11403,290,708,148,398,2,string
2021,26863,831,1389,248,598,71,swift
2021,12884,404,543,95,223,72,tensorflow
2021,1537,63,48,19,44,55,twitter-bootstrap
2021,29448,873,1402,345,741,38,typescript
2021,5035,135,371,34,105,11,vb.net
2021,14304,403,1128,134,334,70,vba
2021,17426,556,695,203,456,65,vue.js
2021,8857,303,628,63,163,54,windows
2021,11291,508,507,103,274,6,wordpress
2021,5196,157,268,48,107,63,wpf
2021,6028,226,338,42,116,42,xcode
2021,5880,211,324,68,148,48,xml
